Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
La Jornada,Tuzas se imponen 2-0 a Puebla   ,"Pachuca femenil alcanzó ayer el subliderato de la Liga Mx, al tiempo que Monterrey y Chivas golearon en el cierre de la jornada nueve. Pese a varias bajas, las Tuzas obtuvieron una victoria cómoda ante Puebla (2-0). Chinwendu Ihezuo y Destinne Manzo anotaron para que las hidalguenses llegaran a 20 unidades, un punto por arriba de Monterrey que, en la Sultana del Norte, apaleó a Santos (6-0), equipo que ya suma 42 goles en contra. En el estadio Akron, Chivas superó a Necaxa (4-0) en un juego que se definió en los primeros 20 minutos con tantos de Dana Sandoval, Carolina Jaramillo y autogol de Brissa Range.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a31n1dep?partner=rss,05/03/2024
La Jornada,Los Broncos liberan al mariscal Russell Wilson   ,"Englewood. Los Broncos de Denver comunicaron a Russell Wilson que lo dejarán en libertad la próxima semana, a 18 meses de firmar al mariscal de campo ganador del Supertazón con una extensión de contrato de cinco años y 242 millones de dólares. Un potencial destino para Wilson es Pittsburgh, que tiene programada en su calendario una visita a Denver en los próximos días. Con la salida de Russell, la franquicia deberá absorber un golpe de 89 millones de dólares en dinero muerto las próximas dos temporadas. Bajo el mando del entrenador Sean Payton, Wilson tuvo una temporada buena, pero no fue suficiente y Payton lo mandó a la banca en lugar de Jarrett Stidham los dos partidos anteriores. Los Broncos cerraron el calendario 8-9, su octava campaña en fila sin llegar a playoffs. Wilson fue adquirido en 2022 proveniente de los Halcones Marinos de Seattle, donde se coronó en 2013.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a31n2dep?partner=rss,05/03/2024
La Jornada,"La cultura y extravagancia de París, en carteles de los Olímpicos   ","París. Colores vibrantes y sitios emblemáticos iluminan los carteles de los Juegos Olímpicos de París, en un estilo art déco inspirado en el pasado extravagante de la ciudad.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a11n1dep?partner=rss,05/03/2024
La Jornada,Willars afina el salto más difícil del mundo para París 2024   ,Randal Willars tiene un as bajo la manga de cara a su presentación en los Juegos Olímpicos de París 2024: el salto de mayor grado de dificultad que se realiza en el mundo.,Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a12n1dep?partner=rss,05/03/2024
La Jornada,"Indian Wells, el próximo objetivo del tenista Santiago González   "," Indian Wells, primer Masters 1000 de la temporada, es el próximo objetivo de Santiago González, subcampeón del Abierto Mexicano de Tenis.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a12n2dep?partner=rss,05/03/2024
La Jornada,"La Liga Expansión Mx, un año más sin el ascenso   ","En la Federación Mexicana de Futbol (FMF), el regreso del ascenso y descenso en la primera división es un tema que sigue cerrado. Desde hace varias temporadas, los clubes de la Liga de Expansión han salido a expresarse en contra de la medida tomada en 2020, pero las máximas autoridades mantienen las mismas condiciones para abrir la competencia deportiva. Eso significa que al menos cuatro franquicias deben estar certificadas para la Temporada 2024-25, de las cuales sólo una, el Atlante, ha podido acreditar los requisitos.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a10n1dep?partner=rss,05/03/2024
La Jornada,Golean al América y las celestes se hunden   ,"La visita del América al estadio Nemesio Díez terminó en pesadilla. Nada pudo salvar a las actuales subcampeonas de una goleada por 3-0 ante el Toluca, un rival que las dominó con una notable consistencia en el ataque para sumar su tercer triunfo en nueve fechas de la Liga Mx Femenil.",Deportes,https://www.jornada.com.mx/2024/03/05/deportes/a10n2dep?partner=rss,05/03/2024
La Jornada,Se incrementó en casi 44% la deuda de Pemex con proveedores y contratistas   ,"Petróleos Mexicanos (Pemex) reportó un aumento de casi 44 por ciento en su deuda con proveedores y contratistas, la cual ascendió a 139 mil 115 millones de pesos al cierre de febrero, en comparación con el de octubre.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n2eco?partner=rss,05/03/2024
La Jornada,Avance sin precedente de la inversión productiva en México: Inegi   ,"La inversión en construcción, maquinaria y demás bienes duraderos creció el año pasado a un nivel sin precedente, reveló el Instituto Nacional de Estadística y Geografía (Inegi). El avance fue de 19.7 por ciento, impulsado por la construcción no residencial, que incluye la obra pública. El consumo, otro pilar de la demanda nacional, también alcanzó un nuevo récord, al crecer 4.39 por ciento el año pasado, debido a una mayor compra de bienes importados.",Economía,https://www.jornada.com.mx/2024/03/05/economia/016n1eco?partner=rss,05/03/2024
La Jornada,Proponen derechos laborales para choferes de aplicaciones en Brasil   ,"Brasilia. El presidente brasileño, Luiz Inácio Lula da Silva, remitió el lunes al Congreso un proyecto de ley para regular los derechos laborales de los trabajadores de las aplicaciones de transporte de pasajeros en el país, lo que incluye la exigencia del pago de un salario mínimo.",Economía,https://www.jornada.com.mx/2024/03/05/economia/017n2eco?partner=rss,05/03/2024
La Jornada,Dólar vuelve a ubicarse por debajo de $17   ,"El peso mexicano rompió este lunes el piso sicólogo de 17 unidades por dólar spot. La divisa mexicana se apreció ante la estadunidense 0.36 por ciento, equivalente a 6.13 centavos, para cerrar en 16.9619 unidades por dólar en el mercado interbancario (al menudeo), su primer cierre por debajo de los 17 pesos desde el 15 de enero.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n3eco?partner=rss,05/03/2024
La Jornada,"Carlos Fernández-Vega: México, SA   ","Lástima: a Ricardo    Salinas Pliego ya no le funcionan sus campañas sucias ni los corifeos mediáticos incluidos en su nómina (que se prestan a todo tipo de bajezas) para obtener canonjías y/ o quitarse de encima obligaciones legales, de tal suerte que, por mucho que se retuerza, grite y chantajee, tendrá que pagar los impuestos que adeuda desde hace alrededor de dos décadas, periodo en el cual dos gobiernos panistas y uno priísta le permitieron todo tipo de tropelías–como a otros barones–, pero para su disgusto se topó con pared con la nueva administración.",Economía,https://www.jornada.com.mx/2024/03/05/opinion/018o1eco?partner=rss,05/03/2024
La Jornada,Disminuye el ritmo de crecimiento   ,"La economía mexicana bajó el ritmo de su crecimiento en la recta final del año pasado y esta tendencia se mantendrá hasta el inicio del segundo trimestre de 2024, señala el Sistema de Indicadores Compuestos: Coincidente y Adelantado, que calcula el Instituto Nacional de Estadística y Geografía (Inegi). Precisó que el indicador adelantado, el cual sugiere el comportamiento de la economía en el corto plazo, se posicionó por arriba de su tendencia de largo plazo, al presentar un valor de 100.2 puntos en octubre, lo que equivale a una caída de 0.10 puntos respecto a septiembre, y fue su tercer retroceso consecutivo. El ritmo de caída del indicador adelantado empieza a acelerarse, por lo cual se prevé que en el corto plazo la actividad productiva del país seguirá creciendo, aunque a tasas menores. No obstante, como consecuencia de una mejora del indicador de confianza empresarial, del momento adecuado para invertir y del tipo de cambio, la economía mantendrá una ruta de crecimiento.",Economía,https://www.jornada.com.mx/2024/03/05/economia/016n3eco?partner=rss,05/03/2024
La Jornada,Ex directivos de Twitter exigen  más de 128 mdd   ,"San Francisco., Cuatro ex directivos de Twitter (hoy X) demandaron este lunes a Elon Musk, a quien acusan de haberlos despedido por “negligencia grave” y “falta intencional” para no indemnizarlos. Según un documento judicial, los querellantes reclaman más de 128 millones de dólares a Musk, quien compró Twitter por 44 mil millones de dólares a fines de 2022 y el mismo día en que tomó posesión echó al ex presidente Parag Agrawal, al director financiero, Ned Segal, y a los directores jurídicos y legales Vijaya Gadde y Sean Edgett.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n6eco?partner=rss,05/03/2024
La Jornada,BM: disminuir brecha de género aumentaría 20% el PIB mundial   ,"La brecha de género para las mujeres en el lugar de trabajo es mucho más amplia de lo que se pensaba. Cerrarla, señala el Banco Mundial (BM), podría aumentar el producto interno bruto global más de 20 por ciento.",Economía,https://www.jornada.com.mx/2024/03/05/economia/017n1eco?partner=rss,05/03/2024
La Jornada,Ventas de automóviles tuvieron su mejor primer bimestre desde 2017   ,"La industria automotriz en México vendió 225 mil 357 vehículos ligeros en el mercado interno durante el primer bimestre de 2024, su mejor cifra para un mismo periodo desde el 2017, cuando se comercializaron 241 mil 640 unidades según datos del Instituto Nacional de Estadística y Geografía (Inegi).",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n1eco?partner=rss,05/03/2024
La Jornada,"Cerca, la victoria  en el control de  la inflación: BPI   ","Londres. Los bancos centrales están cerca de controlar la inflación mundial, afirmó el Banco de Pagos Internacionales (BPI). Hay motivos para un “optimismo prudente”, según el más reciente informe trimestral del BPI, que realiza reuniones periódicas a puerta cerrada con los principales responsables de la política monetaria en el mundo. “Los bancos centrales han tomado medidas decisivas para evitar que la inflación se consolide –dijo a la prensa Claudio Borio, jefe del Departamento Monetario y Económico del BPI–. “Al mismo tiempo, la actividad económica se ha mostrado notablemente resistente y el sistema financiero ha aguantado bien”. El BPI se ha mostrando cada vez más esperanzado. A finales del año pasado, señaló que los avances contra la inflación habían sido alentadores, pero subrayó que los bancos centrales no estaban fuera de peligro.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n4eco?partner=rss,05/03/2024
La Jornada,Cartera vencida de hogares alcanzó nivel máximo en enero   ,"Marcado por la cuesta de enero y las altas tasas de interés, el saldo de la cartera vencida de los préstamos que otorgan los bancos a los hogares mexicanos se situó en 79 mil 693 millones de pesos en el primer mes de 2024, un incremento de 21.6 por ciento en términos nominales y de 16 por ciento real respecto a los 65 mil 553 millones reportados en el periodo comparable de 2023, muestran datos del Banco de México (BdeM).",Economía,https://www.jornada.com.mx/2024/03/05/economia/016n2eco?partner=rss,05/03/2024
La Jornada,Bitcóin se cotiza por arriba de  65 mil dólares   ,"Londres. El bitcóin alcanzó el lunes su nivel más alto en dos años, superando 65 mil dólares, mientras una oleada de dinero lo acercaba a niveles récord. El precio alcanzó un máximo de sesión de 65 mil 537 dólares a primera hora de la mañana en Europa, tras tocar un nuevo máximo de dos años en las operaciones asiáticas. En su última cotización ganó 4 por ciento, para llegar a 65 mil 45 dólares. El bitcóin marcó un récord de 68 mil 999.99 dólares en noviembre de 2021. La mayor criptodivisa por valor de mercado ha ganado 50 por ciento este año y la mayor parte del alza se ha producido en las últimas semanas, cuando se han disparado las entradas en fondos de bitcóin cotizados en Estados Unidos.",Economía,https://www.jornada.com.mx/2024/03/05/economia/019n5eco?partner=rss,05/03/2024
La Jornada,China vuelve a fijar en 5% su meta de crecimiento   ,"Pekín. China fijó una meta de crecimiento económico de alrededor de 5 por ciento para 2024, similar al del año pasado y en línea con las expectativas de los analistas, según un informe oficial.",Economía,https://www.jornada.com.mx/2024/03/05/economia/017n3eco?partner=rss,05/03/2024
La Jornada,Se incrementaron 500% compras de fertilizantes a Rusia   ,"Luego de cerrar el año en niveles históricos, México comenzó el año importando menos fertilizantes; sin embargo, en enero Rusia aumentó más de 500 por ciento su envíos de abono al país, con lo que volvió a ser el principal proveedor.",Economía,https://www.jornada.com.mx/2024/03/05/economia/018n1eco?partner=rss,05/03/2024
La Jornada,Se han reducido los fraudes gracias a la IA: Citibanamex    ,"Mediante el uso de sistemas de inteligencia artificial, los intentos de fraude en contra de los clientes de Citibanamex, uno de los bancos de mayor presencia en el país, han disminuido hasta en 70 por ciento, dio a conocer Rosario Valdivia, directora de tecnología de la institución financiera.",Economía,https://www.jornada.com.mx/2024/03/05/economia/018n2eco?partner=rss,05/03/2024
La Jornada,Miguel Pineda: Negocios y empresas   ,"China dominará la producción    de automóviles durante las siguientes décadas y provocará una guerra comercial, tecnológica y política a nivel global.",Economía,https://www.jornada.com.mx/2024/03/05/opinion/017o1eco?partner=rss,05/03/2024
La Jornada,"Descubren astrolabio del siglo XI que fue usado por musulmanes, judíos y cristianos   ",Madrid. Un raro astrolabio islámico del siglo XI con inscripciones en árabe y hebreo y cuyo origen se sitúa en Toledo fue descubierto en un museo italiano por una experta de la Universidad de Cambridge.,Ciencias,https://www.jornada.com.mx/2024/03/05/ciencias/a06n2cie?partner=rss,05/03/2024
La Jornada,“Racismo y discriminación dificultan la presencia de mujeres indígenas en la ciencia”   ,"Racismo, pobreza, desaparición de lenguas y desplazamiento son cuatro factores que dificultan la presencia de indígenas en la ciencia en México. El panorama se complica todavía más para las mujeres, que además de la discriminación racial deben enfrentar la de género, consideran investigadoras indígenas.",Ciencias,https://www.jornada.com.mx/2024/03/05/ciencias/a05n1cie?partner=rss,05/03/2024
La Jornada,Jorge Veraza Urtusuástegui analiza la inteligencia artificial desde un enfoque marxista   ,"Aunque existe la percepción de que la inteligencia artificial (IA) podría solucionar problemas de explotación laboral y facilitar la vida de las personas, “como es tecnología utilizada de forma capitalista, más bien se usa para perfeccionar la explotación y sobrexplotación de la clase obrera”, consideró Jorge Veraza Urtuzuástegui en la presentación de su libro Karl Marx, la inteligencia artificial y el gobierno despótico de la producción (A 200 años del nacimiento del pensador de la revolución comunista).",Ciencias,https://www.jornada.com.mx/2024/03/05/ciencias/a06n1cie?partner=rss,05/03/2024
La Jornada,"Actuará en Bellas Artes Bryn Terfel, destacado cantante wagneriano   ","El reconocido bajo barítono galés Bryn Terfel se presentará por primera vez en México en el Palacio de Bellas Artes, como parte de las celebraciones por el 90 aniversario de este recinto cultural, el cual se cumplirá el 29 de septiembre.",Cultura,https://www.jornada.com.mx/2024/03/05/cultura/a04n2cul?partner=rss,05/03/2024
La Jornada,Devuelve Suiza a  México un lote de 24 piezas prehispánicas   ,"La embajada de México en Suiza recibió un lote de 24 piezas prehispánicas que pertenecen al patrimonio cultural de nuestro país, de acuerdo con un dictamen del Instituto Nacional de Antropología e Historia (INAH).",Cultura,https://www.jornada.com.mx/2024/03/05/cultura/a03n3cul?partner=rss,05/03/2024
